name_of_centre,type_of_centre,postal,lat,lng,block,street_name
11 Telok Blangah Crescent,MHC,90011,1.277368132,103.8186515,11,TELOK BLANGAH CRESCENT
112 Jalan Bukit Merah,MHC,160112,1.280004801,103.8260133,112,JALAN BUKIT MERAH
115 Bukit Merah View,MHC,151115,1.285504456,103.8218233,115,BUKIT MERAH VIEW
117 Aljunied Ave 2,MHC,380117,1.320646368,103.8870241,117,ALJUNIED AVENUE 2
127 Toa Payoh Lorong 1,MHC,310127,1.338046253,103.8447339,127,LORONG 1 TOA PAYOH
137 Tampines Street 11,MHC,521137,1.345373474,103.9446294,137,TAMPINES STREET 11
159 Mei Chin Road,MHC,140159,1.293236244,103.8029039,159,MEI CHIN ROAD
16 Bedok South Road,MHC,460016,1.320552219,103.9355392,16,BEDOK SOUTH ROAD
163 Bukit Merah Central,HC,150163,1.283661396,103.8170727,163,BUKIT MERAH CENTRAL
17 Upper Boon Keng Road,MHC,380017,1.315028415,103.8716204,17,UPPER BOON KENG ROAD
20 Ghim Moh Road,MHC,270020,1.310996632,103.7882303,20,GHIM MOH ROAD
208B New Upper Changi Road,HC,462208,1.32478237,103.9305703,208B,NEW UPPER CHANGI ROAD
210 Toa Payoh Lorong 8,MHC,310210,1.340216009,103.8548726,210,LORONG 8 TOA PAYOH
216 Bedok North Street 1,MHC,460216,1.327062742,103.933218,216,BEDOK NORTH STREET 1
22 Toa Payoh Lorong 7,MHC,310022,1.335382613,103.8570037,22,LORONG 7 TOA PAYOH
226D Ang Mo Kio Ave 1,MHC,564226,1.366800962,103.8391523,226D,ANG MO KIO AVENUE 1
226H Ang Mo Kio Street 22,HC,568226,1.367196538,103.8400222,226H,ANG MO KIO STREET 22
254 Jurong East Street 24,MHC,600254,1.343488185,103.7377384,254,JURONG EAST STREET 24
29 Bendemeer Road,MHC,330029,1.319216679,103.8630209,29,BENDEMEER ROAD
320 Shunfu Road,MHC,570320,1.352007454,103.8370319,320,SHUNFU ROAD
341 Ang Mo Kio Ave 1,MHC,560341,1.363845169,103.8480673,341,ANG MO KIO AVENUE 1
347 Jurong East Ave 1,MHC,600347,1.345416983,103.7317038,347,JURONG EAST AVENUE 1
353 Clementi Ave 2,MHC,120353,1.31437918,103.7709196,353,CLEMENTI AVENUE 2
36 Telok Blangah Rise,MHC,90036,1.272607033,103.8220284,36,TELOK BLANGAH RISE
37A Teban Gardens Road,MHC,601037,1.320831093,103.7427481,37A,TEBAN GARDENS ROAD
409 Ang Mo Kio Ave 10,MHC,560409,1.362654107,103.8552883,409,ANG MO KIO AVENUE 10
44 Holland Drive,MHC,270044,1.3081178,103.7927738,44,HOLLAND DRIVE
448 Clementi Ave 3,MHC,120448,1.313319693,103.7645172,448,CLEMENTI AVENUE 3
453A Ang Mo Kio Ave 10,MHC,561453,1.368240537,103.8563515,453A,ANG MO KIO AVENUE 10
49 Sims Place,MHC,380049,1.317035024,103.8793099,49,SIMS PLACE
4A Eunos Crescent,MHC,402004,1.32033126,103.9042565,4A,EUNOS CRESCENT
4A Jalan Batu,MHC,432004,1.302360348,103.8839095,4A,JALAN BATU
502 West  Coast Drive,MK,120502,1.311906957,103.759128,502,WEST COAST DRIVE
503 West Coast Drive,HC,120503,1.311803089,103.7597514,503,WEST COAST DRIVE
505 Jurong West Street 52,MHC,640505,1.349657291,103.7184437,505,JURONG WEST STREET 52
50A Marine Terrace,MHC,441050,1.305729736,103.915737,50A,MARINE TERRACE
51 Old Airport Road,MHC,390051,1.308251847,103.8858087,51,OLD AIRPORT ROAD
511 Bedok North Street 3,MHC,460511,1.333219933,103.9305815,511,BEDOK NORTH STREET 3
527 Ang Mo Kio Ave 10,MHC,560527,1.372772093,103.854458,527,ANG MO KIO AVENUE 10
538 Bedok North Street 3,MHC,460538,1.332067277,103.9246213,538,BEDOK NORTH STREET 3
58 New Upper Changi Road,MHC,461058,1.324200873,103.9411253,58,NEW UPPER CHANGI ROAD
6 Tanjong Pagar Plaza,MHC,81006,1.27661367,103.8431617,6,TANJONG PAGAR PLAZA
628 Ang Mo Kio Ave 4,MHC,560628,1.380987617,103.8406281,628,ANG MO KIO AVENUE 4
630 Bedok Reservoir Road,MHC,470630,1.332772792,103.9141908,630,BEDOK RESERVOIR ROAD
69 Geylang Bahru,MHC,330069,1.32146311,103.870005,69,GEYLANG BAHRU
7 Empress Road,MHC,260007,1.316245744,103.8056364,7,EMPRESS ROAD
724 Ang Mo Kio Ave 6,MHC,560724,1.372172585,103.8465103,724,ANG MO KIO AVENUE 6
726 Clementi West Street 2,MHC,120726,1.303810732,103.7642507,726,CLEMENTI WEST STREET 2
74 Toa Payoh Lorong 4,MHC,310074,1.334550749,103.8520035,74,LORONG 4 TOA PAYOH
75 Toa Payoh Lorong 5,HC,310075,1.336020768,103.852957,75,LORONG 5 TOA PAYOH
79 Redhill Lane,MK,150079,1.287843173,103.8183521,79,REDHILL LANE
79 Telok Blangah Drive,HC,100079,1.273355994,103.8076181,79,TELOK BLANGAH DRIVE
80 Circuit Road,MHC,370080,1.327834146,103.8871027,80,CIRCUIT ROAD
82 Telok Blangah Drive,MK,100082,1.273890768,103.8079003,82,TELOK BLANGAH DRIVE
84 Marine Parade Central,MHC,440084,1.30228521,103.9062887,84,MARINE PARADE CENTRAL
85 Bedok North Street 4,MHC,460085,1.332031257,103.9387941,85,BEDOK NORTH STREET 4
85 Redhill Lane,HC,150085,1.287307515,103.8183112,85,REDHILL LANE
89 Circuit Road,MHC,370089,1.323579714,103.8854388,89,CIRCUIT ROAD
90 Whampoa Drive,MHC,320090,1.323064938,103.8549962,90,WHAMPOA DRIVE
93 Toa Payoh Lorong 4,MHC,310093,1.338474696,103.8495134,93,LORONG 4 TOA PAYOH
Blks 13/14 Haig Road,MHC,430013,1.31514205,103.8956095,13,HAIG ROAD
Blks 160/162 Ang Mo Kio Ave 4,MHC,560162,1.37410757,103.8388639,162,ANG MO KIO AVENUE 4
Blks 1A/ 2A/ 3A Commonwealth Drive,HC,141001,1.299730716,103.7978355,1A,COMMONWEALTH DRIVE
Blks 2 & 3 Changi Village Road,MHC,500003,1.389658343,103.9880918,3,CHANGI VILLAGE ROAD
Blks 20/21 Marsiling Lane,MHC,730021,1.443831652,103.7772104,21,MARSILING LANE
Blks 221 A/B Boon Lay Place,MHC,640221,1.346373764,103.7124728,221,BOON LAY PLACE
Blks 22A/B Havelock Road,HC,161022,1.287970517,103.8296234,22A,HAVELOCK ROAD
Blks 79/79A Circuit Road,HC,370079,1.326597067,103.8850523,79,CIRCUIT ROAD
Blks 91/92 Whampoa Drive,MHC,320091,1.323428187,103.8540602,91,WHAMPOA DRIVE
Chinatown Market,MHC,50335,1.282235211,103.8431776,335,SMITH STREET
Chong Pang Market & Food Centre,MHC,760104,1.431447752,103.8285377,104,YISHUN RING ROAD
Hong Lim Market & Food Centre,MHC,51531,1.285323793,103.8457767,531A,UPPER CROSS STREET
Kovan Market & Food Centre,MHC,530209,1.359083841,103.8860554,209,HOUGANG STREET 21
Pek Kio Market & Food Centre,MHC,211041,1.31613128,103.8502329,41A,CAMBRIDGE ROAD
People's Park Food Centre,HC,50032,1.284855884,103.8425999,32,NEW MARKET ROAD
Tekka Market,MHC,210661,1.306710983,103.8501344,661,BUFFALO ROAD
253 Choa Chu Kang Market & Food Centre,MHC,680253,1.376777495,103.7445489,253,CHOA CHU KANG AVENUE 1
